id	imie	nazwisko	pesel	email	umowa	id_szefa	
2767	Bojana	Cękalska	67021562146	b.cekalska@firma.wrrt.pl	2008-08-17	75547646	
29530	Cina	Wieczorkowska	60021612248	c.wieczorkowska@firma.wrrt.pl	2010-05-19	53324710	
77664	Danisława	Obtułowicz	59101738563	d.obtulowicz@firma.wrrt.pl	2012-04-22	26301222	
91085	Rachela	Kaczorowska	60022805920	r.kaczorowska@firma.wrrt.pl	2005-09-06	19577689	
106189	Jacenty	Śmiałkowski	85031617414	j.smialkowski@firma.wrrt.pl	2009-05-17	59625740	
117140	Seweryn	Maliński	94080783355	s.malinski@firma.wrrt.pl	2008-11-23	62614066	
137434	Krzysztof	Gołębiewski	70041035277	k.golebiewski@firma.wrrt.pl	2009-07-20	42857258	
146271	Wilhelm	Gucwa	74112997338	w.gucwa@firma.wrrt.pl	2005-03-14	58099543	
152906	Olek	Urbański	81080437896	o.urbanski@firma.wrrt.pl	2007-08-21	75214566	
193026	Cinosława	Jaśkiewicz	73052718724	c.jaskiewicz@firma.wrrt.pl	2006-06-12	76657199	
225390	Julia	Panuś	70020356403	j.panus@firma.wrrt.pl	2012-10-06	47911272	
371982	Bożena	Moskal	91121752787	b.moskal@firma.wrrt.pl	2006-10-21	38807295	
488979	Ładysława	Piętka	95090471708	l.pietka@firma.wrrt.pl	2007-12-25	73702457	
562018	Emanuel	Jurczyk	87073092714	e.jurczyk@firma.wrrt.pl	2011-01-06	29135757	
624106	Lubosław	Wyrwa	95031484974	l.wyrwa@firma.wrrt.pl	2005-02-03	80183993	
764791	Petroniusz	Andrzejak	00311225837	p.andrzejak@firma.wrrt.pl	2011-11-08	61667270	
869075	Emanuel	Piecha	56061035655	e.piecha@firma.wrrt.pl	2007-09-11	48120059	
959739	Julia	Wojcik	59111855403	j.wojcik@firma.wrrt.pl	2005-06-17	23474614	
964846	Świętomir	Konopczyński	86111751514	s.konopczynski@firma.wrrt.pl	2008-11-25	4282702	
1131537	Mojżesz	Ignatowicz	00293045191	m.ignatowicz@firma.wrrt.pl	2008-08-03	85825261	
1179043	Ernesta	Kozubska	57072989920	e.kozubska@firma.wrrt.pl	2008-06-24	13698173	
1251041	Maria	Sojka	56090968630	m.sojka@firma.wrrt.pl	2011-11-19	70445920	
1285929	Strzeżymir	Nowiński	55080327439	s.nowinski@firma.wrrt.pl	2012-07-23	117140	
1286227	Krzesimir	Gawrysiak	02312747277	k.gawrysiak@firma.wrrt.pl	2007-04-20	59496896	
1299887	Otylia	Pągowska	98072913629	o.pagowska@firma.wrrt.pl	2012-11-09	65461710	
1302815	Cecylian	Pilarz	61111232115	c.pilarz@firma.wrrt.pl	2008-11-17	58804721	
1393233	Brajan	Pietrasiak	99021000593	b.pietrasiak1@firma.wrrt.pl	2005-05-24	76657199	
1414103	Emilia	Ojrzyńska	91121832825	e.ojrzynska@firma.wrrt.pl	2005-09-16	93042028	
