imie	nazwisko	pesel	email	odpowiedzialny	
Hiacynt	Araszkiewicz	00210538214	araszkiewicz@wp.pl	72783215	
Greta	Bagińska	00210770403	g.baginska@onet.pl	75706382	
Tina	Andrzejewska	00210797086	t.andrzejewska@buziaczek.pl	12939793	
Manfred	Starzyński	00211308418	starzynski@amorek.com.pl	77066167	
Damazy	Hrycyk	00211359810	d.hrycyk@wp.pl	59165910	
Lea	Wachowicz	00212072060	wachowicz11@gmail.com	44827442	
Nora	Zając	00212510447	zajac1@amorek.com.pl	29620015	
Bogdał	Krauze	00213136792	krauze@onet.pl	45408900	
Aleksander	Kłodziński	00220233035	klodzinski1@o2.pl	55352409	
Leopolda	Orska	00220260741	l.orska@buziaczek.pl	41343744	
Blanka	Suwart	00220724885	suwart@wp.pl	94099064	
Ronald	Małachowski	00221689316	malachowski11@wp.pl	23406838	
Tytus	Cholewczyński	00222891550	t.cholewczynski@o2.pl	19123145	
Felicjana	Słowakiewicz	00230851827	f.slowakiewicz@buziaczek.pl	88889985	
Ewaryst	Bies	00230893579	e.bies@o2.pl	25624066	
Ewarysta	Lewsza	00231292780	lewsza1@amorek.com.pl	15451313	
Malena	Frąc	00231517843	m.frac@onet.pl	66965805	
Maryna	Grabska	00231550947	m.grabska@onet.pl	46758203	
Linda	Czech	00231675228	czech11@onet.pl	74163249	
Kasper	Napierski	00232084555	k.napierski@buziaczek.pl	84038941	
Fortunat	Waniek	00232480375	waniek@gmail.com	89223314	
Rita	Adamiec	00232521344	r.adamiec@buziaczek.pl	89737169	
Cyryl	Katlewicz	00232705155	c.katlewicz@wp.pl	55013605	
Amalia	Turczyńska	00233107284	a.turczynska@o2.pl	12306477	
Babeta	Regulska	00240349101	regulska1@o2.pl	98137501	
Rebeka	Wielowieyska	00241654284	r.wielowieyska@onet.pl	74163249	
Eryka	Siczek	00241778540	e.siczek@buziaczek.pl	48931844	
Andrzej	Wszelaki	00241890750	a.wszelaki@onet.pl	78005231	
Anita	Pelc	00242099202	pelc@o2.pl	46646309	
Lana	Kaczmarek	00242362665	kaczmarek@wp.pl	10635166	
Ksawery	Pajor	00242800233	pajor@buziaczek.pl	62175273	
Ignacy	Witczyk	00242965035	witczyk@onet.pl	71207241	
Modest	Rymkiewicz	00250148879	rymkiewicz@buziaczek.pl	15511087	
Julianda	Jank	00250622803	jank@onet.pl	29661221	
Gracjana	Sikorska	00250771965	g.sikorska@onet.pl	66516892	
Wahid	Bieliński	00251012975	w.bielinski@gmail.com	32263447	
Romana	Szablewska	00251391382	r.szablewska@wp.pl	35368909	
Seweryna	Firląg	00251609001	firlag@o2.pl	76101388	
Piotr	Białas	00251646130	bialas@buziaczek.pl	2715430	
Teodora	Butrymowicz	00252045921	t.butrymowicz@buziaczek.pl	40353587	
Świętomir	Sarnawski	00252378214	s.sarnawski@amorek.com.pl	94369240	
Lucjola	Witczyk	00252400809	witczyk@buziaczek.pl	26031989	
Szymon	Zdanowicz	00253007456	s.zdanowicz@o2.pl	77918686	
Mściwoj	Gąsiorowski	00260464453	m.gasiorowski@gmail.com	89159739	
Wrocisław	Sławęta	00260466219	slaweta1@onet.pl	98083233	
Betina	Teodorowicz	00260943666	teodorowicz@buziaczek.pl	75003032	
Alojza	Wielowieyska	00261526800	wielowieyska1@gmail.com	49036042	
Tarik	Mioduszewski	00262202594	mioduszewski@o2.pl	65254124	
Teresa	Pawlikowska	00262308627	pawlikowska@amorek.com.pl	69875334	
Serwacy	Kozłowski	00262730237	s.kozlowski@onet.pl	3986536	
Janina	Mazuś	00263001369	j.mazus@o2.pl	44827442	
Leszek	Paszkowski	00270181418	paszkowski@buziaczek.pl	82707964	
Ignacy	Cichy	00271043694	cichy1@amorek.com.pl	81446611	
Mariusz	Ciechanowski	00271134194	m.ciechanowski@onet.pl	65254124	
Baltazar	Smolarek	00271386911	b.smolarek@wp.pl	22880916	
Łagoda	Stępkowska	00271401605	l.stepkowska@onet.pl	23839654	
Miron	Sygietyński	00271602013	m.sygietynski@o2.pl	27620170	
Władysław	Gnoiński	00272447930	gnoinski@wp.pl	21250798	
Kaja	Kokoszka	00272637269	kokoszka@o2.pl	34606317	
Jacenty	Kucharczyk	00280286374	kucharczyk@wp.pl	11524571	
Wilhelm	Dziubdziela	00280552716	dziubdziela@onet.pl	10807314	
Bożidar	Kurowski	00280626091	b.kurowski@amorek.com.pl	49200440	
Polikarp	Raniszewski	00281021772	raniszewski1@gmail.com	59281966	
Kilian	Filipczak	00281125179	filipczak@amorek.com.pl	94429055	
Laila	Fiutowska	00281589148	fiutowska@o2.pl	86833120	
Jona	Platajs	00281789050	platajs@amorek.com.pl	86015523	
Jarmiła	Michałek	00281827941	michalek@gmail.com	55709848	
Julianna	Szemiot	00282345864	szemiot@onet.pl	4274361	
Angelina	Rychlewska	00282665588	a.rychlewska@onet.pl	56445249	
Paula	Bagińska	00282711746	baginska@gmail.com	44908198	
Świętibor	Myśliwiec	00282930851	s.mysliwiec@o2.pl	3178345	
Machut	Romatowski	00283018019	romatowski@wp.pl	41171480	
Adam	Vetulani	00283037557	a.vetulani@onet.pl	50087177	
Nora	Malinowska	00290365542	n.malinowska@wp.pl	46184759	
Inocenty	Łańcucki	00290754997	lancucki@onet.pl	22972786	
Danko	Murawski	00291044994	murawski@buziaczek.pl	66705093	
Bernadeta	Kołodziej	00291324722	kolodziej1@gmail.com	1302815	
Dobrosław	Paluszkiewicz	00291816535	d.paluszkiewicz@gmail.com	3492919	
Kanimir	Grabski	00292007093	k.grabski1@wp.pl	17628984	
Saba	Kocot	00292192306	s.kocot@amorek.com.pl	18738995	
Izydora	Kuryłowicz	00292953929	i.kurylowicz@gmail.com	38246006	
Anzelma	Synal	00300292309	synal@amorek.com.pl	27759940	
Murat	Majerski	00300295159	majerski@wp.pl	46361611	
Ewalda	Zając	00300301001	e.zajac@o2.pl	31787627	
January	Dąbkowski	00301247650	dabkowski@buziaczek.pl	87779147	
Alia	Ochab	00301327606	ochab1@wp.pl	82803345	
Achilles	Vetulani	00301339939	vetulani@wp.pl	6548121	
Augusta	Schutt	00301986346	schutt@o2.pl	98083028	
Herakliusz	Hermanowicz	00302251076	hermanowicz@o2.pl	61267048	
Tadeusz	Chlebek	00302352517	t.chlebek@gmail.com	34606317	
Hubertyna	Grabska	00302690402	h.grabska@wp.pl	75914162	
Aleksandra	Parandowska	00303145949	parandowska@o2.pl	31451323	
Lara	Dąbrowska	00311221260	l.dabrowska@wp.pl	6269804	
Gwido	Chmiel	00311346633	chmiel@buziaczek.pl	78100969	
Ferdynand	Sienicki	00311439395	f.sienicki@wp.pl	42077673	
